tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei
100000000,4,0,10000,0,10,0,100,0,172800,1,60,0,7451104486234851028853608,0,1192596827627807557248666,644982151357203201708370819,681063588571958780000000000,687133240661615000000000000,0,0,0,0,115380856584147557248677,63373804106367296772485
100000000,4,1,0,0,10,0,100,0,172800,1,60,1422138894970270318559758,7076310966959687823651528,0,2421418350020815247292995,601969328425148065045383686,597669887669078840000000000,603746918891048000000000000,0,0,0,0,4009999997474,0
100000000,4,1,5000,0,10,0,100,0,172800,1,60,711532696798029543042893,7249411367024959779333434,0,1829202160769404140177166,603364446655984909127463672,614759122051107400000000000,620890863666071000000000000,0,0,0,0,4009999997475,0
100000000,4,1,10000,0,10,0,100,0,172800,1,60,0,7275393402897258401900952,0,1227632776425996745361448,604881888282233921438148403,616958425395705330000000000,622875630955839000000000000,0,0,0,0,57493116540031745361460,38346695105928591162245
10000000,0,0,0,0,10,0,100,0,172800,1,60,73463175473098362620369,384581683511341540936570,0,0,49077476558310860765119538,48939574735644830000000000,48813531147943000000000000,0,0,0,0,87271343009271110939684,132330785576616193432756
10000000,0,0,5000,0,10,0,100,0,172800,1,60,36641351734173152202180,384581683511341540936570,0,0,49048343498936520431924453,48939574735644830000000000,48688129993755000000000000,0,0,0,0,103445369523929553843748,152978582518286193432756
10000000,0,0,10000,0,10,0,100,0,172800,1,60,0,384581683511341540936570,0,0,49019317391293042926434703,48939574735644830000000000,48543162292539000000000000,0,0,0,0,116217214534359999999999,176848088960986193432756
10000000,0,1,0,0,10,0,100,0,172800,1,60,73463223362853201113023,383747244653012852880921,0,0,49075421010848664978013130,48938339052610790000000000,48811102456660000000000000,0,0,0,0,86877799159256272447030,132323917355855565662500
10000000,0,1,5000,0,10,0,100,0,172800,1,60,36641375678009208599117,383747244653012852880921,0,0,49046287951474324644818045,48938339052610790000000000,48685707740266000000000000,0,0,0,0,103052907528713497446811,152970656388645565662500
10000000,0,1,10000,0,10,0,100,0,172800,1,60,0,383747244653012852880921,0,0,49017261843830847139328295,48938339052610790000000000,48540747468310000000000000,0,0,0,0,115825997313119999999999,176838942001205565662500
