tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,reserveCostBps,bufferDays,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,bootstrapWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,bufferPaidWei,residualSourceClaimWei
10000000,4,0,5000,0,10,0,10,7,172800,1,60,74554476289398978840890,713075132194026310275120,72814692628747588512165,259285961456429358032309,64479490458362048516237487,65212814194073850000000000,65646229564162000000000000,0,0,124,134,4009999974570,0
10000000,4,0,10000,0,10,0,10,7,172800,1,60,0,712376288799676333998989,66030239518428390097272,236625198538102073612930,64584798845269747685916697,65317862280748250000000000,65625468626024000000000000,0,0,142,152,597099402344000485838,22987326602088305874231
10000000,4,1,0,0,10,0,10,7,172800,1,60,141781668317909068681848,673788804688782156561458,76497691032800636097792,209192751159453779775124,57576578248228895524133846,59547992233258300000000000,60008526279271000000000000,0,0,43,44,4009999974716,0
10000000,4,1,5000,0,10,0,10,7,172800,1,60,70937859086121022949620,680807689138919585840939,66321756767799799471208,187923866758393121725039,57708688938700221555561876,59680416537362540000000000,60128360213865000000000000,0,0,68,73,193955150078293414734,2779909668428166555834
10000000,4,1,10000,0,10,0,10,7,172800,1,60,0,680829130684963813551197,60791084950256528640178,183230612116000574454859,57858522927615871301915057,59830553685633780000000000,60147016607101000000000000,0,0,97,105,298940737969953661461,26480674101634284437081
1000000,0,0,0,0,10,0,10,7,172800,1,60,7302467796968940583397,36674031552277399890174,5441541417356651285450,3710000001125,4787251096677857606481296,5826670872238580000000000,5845777140043000000000000,0,0,183,195,2751958372553895768093,3024636262818378742993
1000000,0,0,5000,0,10,0,10,7,172800,1,60,3651238847798322269908,36672203255871791484653,5114153216803382507394,3630000001125,4787251096677857606481296,5932144033188790000000000,5949683473596000000000000,0,0,213,227,2701620536495320658298,3303768503792172448075
1000000,0,0,10000,0,10,0,10,7,172800,1,60,0,36672203255871791484653,4786765016250280396005,3630000001125,4787251096677857606481296,5932144033188790000000000,5946282389334000000000000,0,0,240,256,2652589265395692066803,3872530667822172448075
1000000,0,1,0,0,10,0,10,7,172800,1,60,7306508135940475735418,36646919387588022140512,5441541417356651285450,3770000001125,4787251096677857606481296,5429215801040190000000000,5448293719596000000000000,0,0,183,195,2752475512307633655337,3024741001866255509275
1000000,0,1,5000,0,10,0,10,7,172800,1,60,3651946507823244562590,36645088845781030383075,5114153216803382507394,4640000001125,4787251096677857606481296,5534685964080670000000000,5552197637354000000000000,0,0,213,227,2696234333101626871959,3303779359990125843328
1000000,0,1,10000,0,10,0,10,7,172800,1,60,0,36645088845781030383075,4786765016250280396005,4640000001125,4787251096677857606481296,5534685964080670000000000,5548796544039000000000000,0,0,240,256,2646598292935305133578,3872542968790125843328
1000000,1,0,0,0,10,0,10,7,172800,1,60,9498642030217809713778,47741458620890293150422,8703831475281293327170,3285011626700,7135968396516998802981079,7793039258813690000000000,7813865928510000000000000,0,0,178,189,4217279969170818342583,4634157594423633392371
1000000,1,0,5000,0,10,0,10,7,172800,1,60,4749688904021706882450,47579055749677824196580,8111979325561165980600,0,6963061904072786376314677,7790501455024060000000000,7806175547264000000000000,0,0,201,217,4160667247934922198770,5554828998749180172002
1000000,1,0,10000,0,10,0,10,7,172800,1,60,0,47642962284364735067714,7353522891966858228749,0,6977980905679991876371971,7810234961710170000000000,7820333568408000000000000,0,0,226,244,3949367299566016358735,6493129339906170234060
1000000,1,1,0,0,10,0,10,7,172800,1,60,8917726428495260809739,44749133254670916449377,8130051187697255712885,4434039701634,6870610192536900136672676,7616390912587130000000000,7635402457521000000000000,0,0,157,173,4031826517963975939165,4431618229174720687102
1000000,1,1,5000,0,10,0,10,7,172800,1,60,4461904556915053524424,44790410545834116612852,7588813021699167719296,5280527194491,6883688856943127034950363,7785293744960110000000000,7801999932235000000000000,0,0,181,200,3982820335729375368905,4849856549896133142143
1000000,1,1,10000,0,10,0,10,7,172800,1,60,0,44834225934768642540195,7039199180046861920749,3964673850632,6896724639718677942504165,7799610776367130000000000,7811305384144000000000000,0,0,203,226,3918121980549663805490,5695559860545899003895
1000000,2,0,0,0,10,0,10,7,172800,1,60,15174027686435801768938,47525582087594494502750,5441541417356651285450,37177276373313149237656,4681516846282627957260273,4783336782584620000000000,4803417549161000000000000,0,0,0,0,4009999746729,0
1000000,2,0,5000,0,10,0,10,7,172800,1,60,7568207022534010412755,44088138139180000905687,5114153216803382507394,28152214344551570644550,4681516846282627957260273,4783336782584620000000000,4801726756014000000000000,0,0,0,0,4009999746383,0
1000000,2,0,10000,0,10,0,10,7,172800,1,60,0,45417084800442098135356,4786765016250280396005,21577223336507300734945,4681516846282627957260273,4783336782584620000000000,4802398869370000000000000,0,0,0,0,9046223451551191767,1561344790891263240
1000000,2,1,0,0,10,0,10,7,172800,1,60,16275187439528892575855,69881150772083060007309,5441541417356651285450,52428162828891846497941,4681516846282627957260273,4783336782584620000000000,4811623283580000000000000,32,0,0,0,4009999745669,0
1000000,2,1,5000,0,10,0,10,7,172800,1,60,8106588376423901202987,69775107553289244967821,5114153216803382507394,44527320523544966581710,4681516846282627957260273,4783336782584620000000000,4811576873364000000000000,2,0,0,0,4009999747151,0
1000000,2,1,10000,0,10,0,10,7,172800,1,60,0,69972761736167473578700,4786765016250280396005,36868882379551718221376,4681516846282627957260273,4783336782584620000000000,4811653765788000000000000,0,0,0,0,4009999747218,0
1000000,3,0,0,0,10,0,10,7,172800,1,60,9325812976104476929581,39747320071321187689614,7003107656686531098520,7599004995994523076879,5919903639079705215680717,6015589666464800000000000,6049719760020000000000000,0,0,27,28,4009999747736,0
1000000,3,0,5000,0,10,0,10,7,172800,1,60,4657859914876571011387,39961859152811110194089,6674173552877150842463,3421353462440927693913,5920498260326380633713042,6016183730456800000000000,6050538144506000000000000,0,0,28,29,4009999747313,0
1000000,3,0,10000,0,10,0,10,7,172800,1,60,0,40804806758877191348019,6345483918032299054308,1527479207321610239400,6023362111454923495770184,6015685499556860000000000,6040947850071000000000000,0,0,30,32,259806129452725348338,1947397786447269388791
1000000,3,1,0,0,10,0,10,7,172800,1,60,9332760480815060849737,39747320071321187689614,7003107656686531098520,7605952500705106997035,5919903639079705215680717,6015589666464800000000000,6049719760020000000000000,2,0,27,28,4009999747736,0
1000000,3,1,5000,0,10,0,10,7,172800,1,60,4659590774376761828754,39961859152811110194089,6674173552877150842463,3423084321941118511280,5920498260326380633713042,6016183730456800000000000,6050538144506000000000000,0,0,28,29,4009999747313,0
1000000,3,1,10000,0,10,0,10,7,172800,1,60,0,40804806758877191348019,6345483918032299054308,1527479207321610239400,6023362111454923495770184,6015685499556860000000000,6040947850071000000000000,0,0,30,32,259806129452725348338,1947397786447269388791
1000000,4,0,0,0,10,0,10,7,172800,1,60,14976814551138384900607,71168857719111726013606,7735945582851354901860,30456358250398038060310,6455976109527859233862863,6529298166893920000000000,6572591020411000000000000,0,0,106,111,4009999747040,0
1000000,4,0,5000,0,10,0,10,7,172800,1,60,7455448150127625258709,71307516562335268215309,7281469670860321243949,25928597312768375253610,6447949402565045987104703,6521281780480310000000000,6564623073141000000000000,0,0,124,134,4009999746055,0
1000000,4,0,10000,0,10,0,10,7,172800,1,60,0,71237632221557685610904,6603024319785985912716,23662520915179671570234,6458480241840320070621487,6531786589730850000000000,6562547245811000000000000,0,0,142,152,59760315452834193728,2298682287530514840764
1000000,4,1,0,0,10,0,10,7,172800,1,60,14178167827777373059564,67378884207290160210790,7649769537910045384291,20919276485753255835946,5757658143235423365209230,5954799553083030000000000,6000852709026000000000000,0,0,43,44,4009999747813,0
