tvl,path,outage,discountBps,dimension,swapCostBps,loopCostBps,slippageBps,incentiveMode,exitLagSeconds,harvestEveryDays,halfExitDay,mainInterestWei,loopInterestWei,incentiveWei,recoveryWei,peakDebtWei,hollarSoldWei,hollarBoughtWei,floorMisses,liquidations,ethReturnBps,btcReturnBps,surplusPaidWei,residualSourceClaimWei,recoveryLiquidityWei
10000000,1,1,10000,0,85,10,50,0,172800,1,60,0,463762066571548339933935,0,3750000053010000000000,70343679377411727145838838,71258521900744620000000000,71053707471696999000000000,0,0,3,3,65441499265418999993827,143280639470611691945270,0
10000000,2,0,0,0,85,10,50,0,172800,1,60,152510277108263599037431,422924323550902192536911,0,494293463684874590697025,46576887569987297527671231,47588402893459980000000000,47669544023293422000000000,0,0,0,0,4000000000000,0,0
10000000,2,0,5000,0,85,10,50,0,172800,1,60,76054057714791001540882,445771526508056630298439,0,431133779272355986780364,46575613597376297527671231,47588402893459980000000000,47679094678039461000000000,0,0,0,0,4000000000000,0,0
10000000,2,0,10000,0,85,10,50,0,172800,1,60,0,455738409058543601517000,0,359354327550601845376642,46574339624766307527671232,47588402893459980000000000,47684786953049478000000000,0,0,0,0,3001845365060,0,0
10000000,2,1,0,0,85,10,50,0,172800,1,60,163774339890774115789597,692119985462733675786569,0,671423203849956065003283,46576887569987297527671231,47588402893459980000000000,47772873881466957000000000,32,0,0,0,3004949201812,0,0
10000000,2,1,5000,0,85,10,50,0,172800,1,60,81408690280173085107759,692589579637261994668920,0,589134857107818509641501,46575613597376297527671231,47588402893459980000000000,47773266177877857000000000,2,0,0,0,3014424521905,0,0
10000000,2,1,10000,0,85,10,50,0,172800,1,60,0,696060085432311363635793,0,509969779105872084706552,46574339624766307527671232,47588402893459980000000000,47774493063912708000000000,0,0,0,0,3009084694685,0,0
10000000,3,0,0,0,85,10,50,0,172800,1,60,88497906801363588918294,416505203453437200167710,0,205709672016703863156825,47680397734635056153729281,47588402893459980000000000,47887696142486739000000000,0,0,0,0,3002274226329,0,0
10000000,3,0,5000,0,85,10,50,0,172800,1,60,44102152757425032683950,414086795660848843381556,0,161002499786565453204275,47672903677006341049319995,47588402893459980000000000,47885589157603716000000000,0,0,0,0,3004420508117,0,0
10000000,3,0,10000,0,85,10,50,0,172800,1,60,0,414319214035180861438846,0,116774622622560950031216,47665415932760228990000534,47588402893459980000000000,47885947297850970000000000,0,0,0,0,3004950018947,0,0
